Pays	Zone géographique	ID produit	Catégorie	Sous-catégorie	Nom du produit	Montant des ventes	Quantité	Remise	Profit	Retourné
Suède	Nord	FOU-PA-10000938	Fournitures de bureau	Papier	Enermax Cahier. Multicolore	44.865	3	0.5	-26.055	Non
Royaume-Uni	Nord	MOB-BI-10001068	Mobilier	Bibliothèques	Dania Étagère d'angle. Classique	854.49	7	0	290.43	Non
France	Centre	FOU-AR-10002240	Fournitures de bureau	Art	Binney & Smith Carnet de croquis. Emballage en vrac	139.77	3	0	20.88	Non
Royaume-Uni	Nord	FOU-AR-10001336	Fournitures de bureau	Art	Boston Marqueurs. Emballage en vrac	26.64	2	0.5	-21.9	Non
Royaume-Uni	Nord	FOU-ST-10002518	Fournitures de bureau	Stockage	Eldon Dossiers. Taille réelle	17.01	2	0.5	-1.05	Non
France	Centre	FOU-AR-10002292	Fournitures de bureau	Art	Binney & Smith Taille-crayon. Tailles assorties	89.55	3	0	20.52	Non
France	Centre	FOU-AR-10003446	Fournitures de bureau	Art	Sanford Toile. Métal	207.12	4	0	76.56	Non
France	Centre	MOB-ME-10003131	Mobilier	Meubles	Advantus Cadre. Durable	324.45	3	0	35.64	Non
Pays-Bas	Centre	FOU-AR-10002052	Fournitures de bureau	Art	Stanley Stylos. Bleu	5.025	1	0.5	-0.105	Non
France	Centre	FOU-ÉL-10001908	Fournitures de bureau	Éléments de fixation	Accos Épingles. Tailles assorties	33.39	3	0	2.25	Non
France	Centre	FOU-ST-10002409	Fournitures de bureau	Stockage	Smead Casiers. Industriel	716.04	4	0.1	143.16	Non
France	Centre	MOB-BI-10002379	Mobilier	Bibliothèques	Bush Étagères. Noir	155.358	1	0.1	36.228	Non
France	Centre	MOB-BI-10000315	Mobilier	Bibliothèques	Ikea Bibliothèque classique. Métal	986.904	6	0.6	-1011.636	Non
France	Centre	FOU-AR-10001026	Fournitures de bureau	Art	Binney & Smith Carnet de croquis. Bleu	115.8	5	0.5	-55.65	Non
Royaume-Uni	Nord	FOU-ST-10000993	Fournitures de bureau	Stockage	Fellowes Chariot. Bleu	205.965	3	0.5	-41.265	Non
Espagne	Sud	FOU-ÉT-10001085	Fournitures de bureau	Étiquettes	Novimex Étiquettes de dossier. Rouge	40.35	5	0	5.55	Oui
Espagne	Sud	MOB-TA-10002298	Mobilier	Tables	Bevis Table d'enseignement. Noir	267.984	2	0.6	-341.736	Oui
Autriche	Centre	FOU-AR-10003411	Fournitures de bureau	Art	Boston Toile. Métal	54.9	1	0	9.87	Non
Autriche	Centre	FOU-ST-10003444	Fournitures de bureau	Stockage	Smead Plateaux. Taille réelle	97.02	2	0	31.02	Non
Italie	Sud	FOU-CL-10000002	Fournitures de bureau	Classeurs	Ibico Renforts de perforations. Recyclé	22.05	3	0	6.75	Non
Royaume-Uni	Nord	FOU-AR-10000560	Fournitures de bureau	Art	Binney & Smith Toile. Bleu	102.72	2	0	19.5	Non
Royaume-Uni	Nord	MOB-CH-10004447	Mobilier	Chaises	SAFCO Fauteuil. Rouge	1384.29	3	0	13.77	Non
Allemagne	Centre	PRO-MA-10004955	Produits technologiques	Machines	Epson Imprimante. Blanc	522.06	2	0	20.88	Non
Allemagne	Centre	FOU-CL-10003845	Fournitures de bureau	Classeurs	Ibico Onglets. Clair	16.74	2	0	6.18	Non
Allemagne	Centre	MOB-BI-10003510	Mobilier	Bibliothèques	Ikea Bibliothèque. Classique	551.61	5	0.1	165.36	Non
Allemagne	Centre	FOU-AR-10000560	Fournitures de bureau	Art	Binney & Smith Toile. Bleu	256.8	5	0	48.75	Non
Royaume-Uni	Nord	MOB-CH-10002683	Mobilier	Chaises	Hon Dessous de siège. Réglable	290.1	5	0	69.6	Non
Royaume-Uni	Nord	FOU-PA-10001330	Fournitures de bureau	Papier	Green Bar Cahier. Par paquet de 12	33.93	2	0.5	-6.15	Non
Pays-Bas	Centre	FOU-PA-10003250	Fournitures de bureau	Papier	Green Bar Papier à lettres. Multicolore	49.8	2	0.5	-37.86	Non
Pays-Bas	Centre	FOU-ST-10000401	Fournitures de bureau	Stockage	Smead Casiers. Bleu	198.42	2	0.5	-130.98	Non
Pays-Bas	Centre	FOU-ÉT-10003811	Fournitures de bureau	Étiquettes	Harbour Creations Étiquettes légales. Blanc	21.9	4	0.5	-12.3	Non
Pays-Bas	Centre	FOU-CL-10001849	Fournitures de bureau	Classeurs	Wilson Jones Renforts de perforations. Durable	9.045	3	0.5	-3.465	Non
Suède	Nord	FOU-AR-10003728	Fournitures de bureau	Art	Sanford Stylos. Métal	30.9	5	0.5	-13.65	Non
Autriche	Centre	PRO-MA-10002179	Produits technologiques	Machines	StarTech Imprimante de cartes. Blanc	485.73	3	0	77.67	Non
Autriche	Centre	PRO-TÉ-10004925	Produits technologiques	Téléphones	Apple Casque. Bleu	439.56	6	0	65.88	Non
Autriche	Centre	FOU-PA-10002047	Fournitures de bureau	Papier	Xerox Organiseur. Qualité supérieure	224.07	11	0	102.96	Non
Allemagne	Centre	FOU-ÉT-10002933	Fournitures de bureau	Étiquettes	Harbour Creations Étiquettes repositionnables. Blanc	20.7	2	0	7.44	Non
Allemagne	Centre	FOU-FO-10001049	Fournitures de bureau	Fournitures	Elite Coupe-papier. Bleu	54.6	2	0	2.16	Non
Allemagne	Centre	FOU-PA-10003632	Fournitures de bureau	Papier	Green Bar Ramette. Par paquet de 12	169.5	5	0	25.35	Non
Allemagne	Centre	PRO-PH-10001577	Produits technologiques	Photocopieurs	Hewlett Photocopieur. Numérique	526.62	2	0	10.5	Non
Allemagne	Centre	FOU-ÉL-10001238	Fournitures de bureau	Électroménager	Cuisinart Micro-ondes. Blanc	248.94	1	0.1	2.76	Non
